"LOCATION" "FINAL_MARGIN" "SHOT_NUMBER" "PERIOD" "DRIBBLES" "TOUCH_TIME" "SHOT_DIST" "PTS_TYPE" "SHOT_RESULT" "CLOSE_DEF_DIST"
"258" "H" 50 2 1 5 4 17 2 "made" 3.9
"259" "H" 50 3 1 6 5.7 24.5 3 "missed" 1.2
"260" "H" 50 4 1 0 0.8 26 3 "missed" 5.6
"261" "H" 50 5 1 9 6.6 25.6 3 "missed" 4.9
"262" "H" 50 6 1 1 1.3 5.2 2 "missed" 0.2
"263" "H" 50 7 2 0 2.5 27 3 "missed" 8.1
"264" "H" 50 8 2 2 1.4 13.7 2 "made" 2.8
"265" "H" 50 9 3 2 1.6 17.8 2 "made" 5.2
"266" "H" 50 10 3 12 8.4 23.9 3 "made" 3.7
"267" "H" 50 11 3 4 5.9 3.8 2 "missed" 2.9
"268" "H" 50 12 3 3 4.4 2.6 2 "made" 2.9
"269" "H" 50 13 3 4 4.6 2.3 2 "made" 3.1
"270" "H" 50 14 3 1 2 24.2 3 "made" 9
"271" "H" 50 15 3 1 1.4 21.4 3 "made" 2
"272" "H" 50 16 3 1 2.1 11.3 2 "made" 7.2
"273" "A" 14 1 1 0 4.5 31 3 "made" 6.8
"274" "A" 14 2 1 4 4.8 27.8 3 "missed" 7.5
"275" "A" 14 3 1 0 0.7 19.5 2 "made" 5
"276" "A" 14 4 1 3 4.3 27.7 3 "made" 3.8
"277" "A" 14 5 1 6 5.1 27.5 3 "missed" 3.4
"278" "A" 14 6 1 1 1.4 12 2 "missed" 2.1
"279" "A" 14 7 2 14 10 10.5 2 "made" 1.2
"280" "A" 14 8 2 0 0.7 23.4 3 "missed" 4.8
"281" "A" 14 9 3 4 3.4 27 3 "missed" 4.7
"282" "A" 14 10 3 12 10.1 27.4 3 "made" 5.6
"283" "A" 14 11 3 11 8.8 27.8 3 "made" 0.5
"284" "A" 14 12 3 5 5.2 26.5 3 "made" 6.9
"285" "A" 14 13 3 9 6.5 14.7 2 "made" 4.8
"286" "A" 14 14 3 7 4.5 19 2 "missed" 2.4
"287" "A" 14 15 3 6 4.9 3.7 2 "made" 4.7
"288" "A" 14 16 3 0 1.9 26.9 3 "made" 3.8
"289" "A" 14 17 3 8 5.2 4.6 2 "made" 6.4
"290" "A" 14 18 3 2 2.4 3.5 2 "made" 4.9
"291" "A" 14 19 3 9 7.3 1.6 2 "made" 1.6
"292" "A" 14 20 3 4 6 27.1 3 "made" 3.1
"293" "A" 14 21 3 20 17.4 26 3 "missed" 0.7
"294" "A" 14 22 4 4 3.9 17.3 2 "made" 2.6
"295" "A" 14 23 4 5 4.9 16.7 2 "missed" 2.7
"296" "A" 14 24 4 15 13.7 14.5 2 "made" 4.5
"297" "A" 14 25 4 8 6.8 28.3 3 "made" 4.1
"298" "A" 14 26 4 1 2.5 19 3 "missed" 0
"299" "A" 14 27 4 10 7.3 7.7 2 "missed" 1.6
"300" "A" 20 1 1 8 4.9 19.6 2 "missed" 4.5
"301" "A" 20 2 1 5 7 25.6 3 "made" 6.1
"302" "A" 20 3 1 0 1.2 24.1 3 "made" 10.8
"303" "A" 20 4 1 3 3.6 28.8 3 "made" 5.2
"304" "A" 20 5 1 0 0.7 25.1 3 "missed" 7.3
"305" "A" 20 6 1 0 1.6 23.9 3 "missed" 2.6
"306" "A" 20 7 2 1 1.6 22.8 3 "missed" 0
"307" "A" 20 8 2 0 0.9 23.5 3 "made" 3.7
"308" "A" 20 9 2 4 5 4.1 2 "made" 2.6
"309" "A" 20 10 2 0 1.4 26.3 3 "missed" 13.4
"310" "A" 20 11 3 3 3.2 9.3 2 "made" 4
"311" "A" 20 12 3 6 6.4 10.2 2 "made" 3.4
"312" "A" 20 13 4 0 0.6 4.1 2 "made" 11.1
"313" "A" 20 14 4 0 0.4 8.3 2 "made" 6.5
"314" "A" 20 15 4 9 11 25.6 3 "missed" 5.6
"315" "H" 16 1 1 0 0.5 1.7 2 "made" 1.1
"316" "H" 16 2 1 3 3.5 27.1 3 "missed" 5.1
"317" "H" 16 3 1 0 0.6 1.5 2 "missed" 3
"318" "H" 16 4 1 5 4.5 28.3 3 "made" 6.2
"319" "H" 16 5 1 3 3.3 3.9 2 "made" 1.9
"320" "H" 16 6 1 4 4.5 25 3 "made" 3.7
"321" "H" 16 7 1 9 9.6 22.8 2 "made" 5.5
"322" "H" 16 8 1 3 2.8 27.7 3 "made" 4.3
"323" "H" 16 9 1 1 1.7 24.5 3 "made" 6.1
"324" "H" 16 10 1 0 0.8 25.8 3 "missed" 10.1
"325" "H" 16 11 1 2 3.9 3.7 2 "made" 3.7
"326" "H" 16 12 1 0 2.9 4.9 2 "made" 2.6
"327" "H" 16 13 1 2 3.3 37.7 3 "missed" 3.8
"328" "H" 16 14 2 0 1.4 23.9 3 "missed" 2.2
"329" "H" 16 15 2 1 4.6 10.8 2 "made" 5.1
"330" "H" 16 16 2 0 0.6 23.9 3 "missed" 5.9
"331" "H" 16 17 2 0 0.6 23.4 3 "missed" 4.7
"332" "H" 16 18 2 5 4 4.4 2 "made" 2.3
"333" "H" 16 19 3 0 2.5 2.6 2 "made" 3.4
"334" "H" 16 20 3 0 0 1.1 2 "made" 4.3
"335" "H" 16 21 3 0 2.7 3.8 2 "missed" 0.8
"336" "H" 16 22 3 8 7.1 25.2 3 "missed" 5.9
"337" "H" 16 23 3 0 0.4 5.7 2 "missed" 5.4
"338" "H" 16 24 3 0 2.2 25.2 3 "made" 9.4
"339" "H" 16 25 4 9 11.1 13.5 2 "missed" 4.2
"340" "H" 16 26 4 10 10.8 2 2 "missed" 5
